ABT,06-Apr-83,,,,,,AET,02-Jan-80
ABBV,02-Jan-13,,,,,,GAS,02-Jan-80
ACE,26-Mar-93,,,,,,AA,02-Jan-80
ACN,19-Jul-01,,,,,,MO,02-Jan-80
ACT,17-Feb-93,,,,,,AEP,02-Jan-80
ADBE,14-Aug-86,,,,,,AXP,02-Jan-80
ADT,01-Oct-12,,,,,,AVP,02-Jan-80
AES,26-Jun-91,,,,,,BK,02-Jan-80
AET,02-Jan-80,,,,,,BA,02-Jan-80
AFL,19-Jul-84,,,,,,BMY,02-Jan-80
AMG,21-Nov-97,,,,,,CAT,02-Jan-80
A,18-Nov-99,,,,,,CNP,02-Jan-80
GAS,02-Jan-80,,,,,,CVX,02-Jan-80
APD,06-Apr-83,,,,,,C,02-Jan-80
ARG,22-Dec-86,,,,,,KO,02-Jan-80
AKAM,29-Oct-99,,,,,,CL,02-Jan-80
AA,02-Jan-80,,,,,,ED,02-Jan-80
ALXN,28-Feb-96,,,,,,DE,02-Jan-80
ATI,29-Nov-99,,,,,,DOW,02-Jan-80
ALLE,18-Nov-13,,,,,,DTE,02-Jan-80
AGN,22-Jun-89,,,,,,DD,02-Jan-80
ADS,15-Jun-01,,,,,,ETN,02-Jan-80
ALL,03-Jun-93,,,,,,EIX,02-Jan-80
ALTR,04-Apr-88,,,,,,EMR,02-Jan-80
MO,02-Jan-80,,,,,,ETR,02-Jan-80
AMZN,16-May-97,,,,,,EXC,02-Jan-80
AEE,02-Jan-98,,,,,,XOM,02-Jan-80
AEP,02-Jan-80,,,,,,FDX,02-Jan-80
AXP,02-Jan-80,,,,,,F,02-Jan-80
AIG,07-Sep-84,,,,,,GD,02-Jan-80
AMT,27-Feb-98,,,,,,GE,02-Jan-80
AMP,15-Sep-05,,,,,,GT,02-Jan-80
ABC,04-Apr-95,,,,,,HAL,02-Jan-80
AME,19-Jul-84,,,,,,HPQ,02-Jan-80
AMGN,07-Sep-84,,,,,,HON,02-Jan-80
APH,08-Nov-91,,,,,,IBM,02-Jan-80
APC,09-Sep-86,,,,,,IP,02-Jan-80
ADI,19-Jul-84,,,,,,JNJ,02-Jan-80
AON,07-Sep-84,,,,,,KR,02-Jan-80
APA,16-May-06,,,,,,LLY,02-Jan-80
AIV,22-Jul-94,,,,,,LMT,02-Jan-80
AAPL,12-Dec-80,,,,,,MMM,02-Jan-80
AMAT,07-Sep-84,,,,,,MRO,02-Jan-80
ADM,28-Mar-14,,,,,,MCD,02-Jan-80
AIZ,05-Feb-04,,,,,,MRK,02-Jan-80
T,19-Jul-84,,,,,,MSI,02-Jan-80
ADSK,14-Jun-13,,,,,,PCG,02-Jan-80
